customer_id_masked,date_registered_masked,gender,adress_masked,email_masked,birthdate_masked,current_location,age_bracket,salary_bracket
CID_000050,43932,F,ADDR_000050,user_000050@masked.com,35275,"['-64.6830555', '-1.347634']",46–55,20k - 40k
CID_000051,44257,F,ADDR_000051,user_000051@masked.com,43415,"['-9.611906', '-87.018332']",36–45,40k - 60k
CID_000052,43970,F,ADDR_000052,user_000052@masked.com,40573,"['68.9962265', '146.063378']",36–45,100k+
CID_000053,43812,F,ADDR_000053,user_000053@masked.com,34995,"['-17.9057775', '-73.744665']",36–45,100k+
CID_000054,44376,F,ADDR_000054,user_000054@masked.com,44261,"['-70.222590', '40.146724']",36–45,60k - 80k
CID_000055,44405,M,ADDR_000055,user_000055@masked.com,11237,"['43.6202275', '-52.261839']",46–55,20k - 40k
CID_000056,43818,M,ADDR_000056,user_000056@masked.com,23353,"['-14.5629535', '84.973345']",36–45,80k - 100k
CID_000057,43713,F,ADDR_000057,user_000057@masked.com,43254,"['-67.635773', '-94.353175']",36–45,80k - 100k
CID_000058,44331,F,ADDR_000058,user_000058@masked.com,24521,"['-17.9559065', '97.037270']",36–45,100k+
CID_000059,44084,F,ADDR_000059,user_000059@masked.com,32766,"['54.599791', '-36.179977']",56–65,100k+
CID_000060,44420,F,ADDR_000060,user_000060@masked.com,2797,"['8.3017985', '106.848908']",36–45,100k+
CID_000061,44475,M,ADDR_000061,user_000061@masked.com,19518,"['36.462719', '168.860852']",56–65,80k - 100k
CID_000062,44582,M,ADDR_000062,user_000062@masked.com,15158,"['-19.500522', '-39.977691']",56–65,100k+
CID_000063,44224,M,ADDR_000063,user_000063@masked.com,7297,"['60.5669105', '16.120843']",26–35,100k+
CID_000064,43735,M,ADDR_000064,user_000064@masked.com,9516,"['-75.182604', '-103.411679']",26–35,100k+
CID_000065,44660,M,ADDR_000065,user_000065@masked.com,25585,"['76.4149345', '83.737960']",18–25,100k+
CID_000066,44728,F,ADDR_000066,user_000066@masked.com,9258,"['70.7876795', '-3.616354']",56–65,80k - 100k
CID_000067,44572,F,ADDR_000067,user_000067@masked.com,40351,"['-42.6643525', '93.444922']",18–25,100k+
CID_000068,44090,M,ADDR_000068,user_000068@masked.com,8274,"['84.4510425', '138.097981']",18–25,40k - 60k
CID_000069,44498,M,ADDR_000069,user_000069@masked.com,9164,"['-12.502528', '-163.138129']",26–35,100k+
CID_000070,44231,M,ADDR_000070,user_000070@masked.com,5986,"['-52.315020', '-44.957695']",26–35,100k+
CID_000071,44395,F,ADDR_000071,user_000071@masked.com,44048,"['-44.766661', '96.178100']",46–55,40k - 60k
CID_000072,43888,M,ADDR_000072,user_000072@masked.com,2613,"['-16.4304345', '-99.987530']",26–35,40k - 60k
CID_000073,43782,M,ADDR_000073,user_000073@masked.com,34733,"['76.4288585', '24.812683']",26–35,100k+
CID_000074,43663,M,ADDR_000074,user_000074@masked.com,40647,"['22.381121', '168.041242']",56–65,100k+
CID_000075,43862,M,ADDR_000075,user_000075@masked.com,9005,"['-53.6101025', '86.526959']",26–35,100k+
CID_000076,43949,M,ADDR_000076,user_000076@masked.com,10186,"['8.244478', '-91.320951']",26–35,20k - 40k
CID_000077,44332,F,ADDR_000077,user_000077@masked.com,9439,"['37.416990', '124.039514']",26–35,80k - 100k
CID_000078,43679,F,ADDR_000078,user_000078@masked.com,40594,"['-72.337783', '14.433640']",18–25,100k+
CID_000079,43996,M,ADDR_000079,user_000079@masked.com,8031,"['43.004866', '105.010113']",46–55,100k+
CID_000080,44391,M,ADDR_000080,user_000080@masked.com,8051,"['-33.194573', '-24.124216']",18–25,100k+
CID_000081,44130,F,ADDR_000081,user_000081@masked.com,2473,"['33.669003', '-146.284214']",46–55,100k+
CID_000082,43652,M,ADDR_000082,user_000082@masked.com,4264,"['-10.0525355', '172.324659']",46–55,100k+
CID_000083,43989,M,ADDR_000083,user_000083@masked.com,8438,"['-17.880179', '-140.641563']",56–65,100k+
CID_000084,44128,F,ADDR_000084,user_000084@masked.com,5618,"['69.8702925', '2.280719']",18–25,100k+
CID_000085,44578,M,ADDR_000085,user_000085@masked.com,22284,"['-31.3171575', '126.185888']",36–45,100k+
CID_000086,44543,M,ADDR_000086,user_000086@masked.com,10064,"['-35.939047', '44.058295']",46–55,100k+
CID_000087,44707,M,ADDR_000087,user_000087@masked.com,13082,"['35.739773', '-119.609844']",36–45,100k+
CID_000088,44294,F,ADDR_000088,user_000088@masked.com,36007,"['-40.7659465', '-146.444895']",56–65,60k - 80k
CID_000089,44677,M,ADDR_000089,user_000089@masked.com,12004,"['-29.8001605', '117.741725']",46–55,40k - 60k
CID_000090,44401,M,ADDR_000090,user_000090@masked.com,25042,"['-24.4006465', '-154.064626']",36–45,100k+
CID_000091,43723,F,ADDR_000091,user_000091@masked.com,35442,"['-56.5135395', '145.073247']",46–55,100k+
CID_000092,44358,M,ADDR_000092,user_000092@masked.com,30803,"['-4.302588', '-145.122641']",26–35,20k - 40k
CID_000093,43855,M,ADDR_000093,user_000093@masked.com,32720,"['-49.9892135', '23.798363']",46–55,80k - 100k
CID_000094,43653,M,ADDR_000094,user_000094@masked.com,22965,"['81.531065', '43.611501']",56–65,100k+
CID_000095,43765,F,ADDR_000095,user_000095@masked.com,24360,"['-36.0433395', '-179.105207']",36–45,20k - 40k
CID_000096,43676,M,ADDR_000096,user_000096@masked.com,30376,"['53.616692', '-146.448795']",56–65,100k+
CID_000097,43770,M,ADDR_000097,user_000097@masked.com,19899,"['-67.4878385', '45.563586']",36–45,100k+
CID_000098,43992,F,ADDR_000098,user_000098@masked.com,28185,"['3.925606', '117.896686']",18–25,100k+
CID_000099,44262,F,ADDR_000099,user_000099@masked.com,20264,"['21.155104', '142.148403']",26–35,100k+
CID_000100,43795,M,ADDR_000100,user_000100@masked.com,6128,"['85.359413', '-44.999789']",18–25,100k+
CID_000101,44339,M,ADDR_000101,user_000101@masked.com,2808,"['-58.821875', '120.978478']",56–65,100k+
CID_000102,44425,M,ADDR_000102,user_000102@masked.com,34309,"['37.7401345', '79.065279']",46–55,80k - 100k
CID_000103,44652,M,ADDR_000103,user_000103@masked.com,28295,"['41.361556', '84.564501']",56–65,60k - 80k
CID_000104,43649,M,ADDR_000104,user_000104@masked.com,10160,"['52.192700', '-16.933944']",36–45,100k+
CID_000105,44341,F,ADDR_000105,user_000105@masked.com,40857,"['27.813433', '38.597102']",18–25,100k+
CID_000106,44519,M,ADDR_000106,user_000106@masked.com,12846,"['37.686148', '-75.394705']",36–45,100k+
CID_000107,43871,M,ADDR_000107,user_000107@masked.com,18738,"['35.477033', '91.413532']",46–55,40k - 60k
CID_000108,44389,M,ADDR_000108,user_000108@masked.com,33874,"['29.6410635', '-176.226264']",46–55,100k+
CID_000109,44019,M,ADDR_000109,user_000109@masked.com,25808,"['26.459549', '43.687080']",18–25,80k - 100k
CID_000110,44468,M,ADDR_000110,user_000110@masked.com,22852,"['-39.043718', '-137.242533']",46–55,100k+
CID_000111,44464,F,ADDR_000111,user_000111@masked.com,26316,"['-3.5412805', '83.545604']",26–35,80k - 100k
CID_000112,44284,F,ADDR_000112,user_000112@masked.com,39016,"['65.519153', '-60.218858']",36–45,100k+
CID_000113,44479,F,ADDR_000113,user_000113@masked.com,36565,"['88.0028255', '166.320909']",26–35,40k - 60k
CID_000114,44655,F,ADDR_000114,user_000114@masked.com,34460,"['6.3316035', '119.075695']",56–65,100k+
CID_000115,44420,M,ADDR_000115,user_000115@masked.com,39148,"['-72.622589', '-86.047655']",36–45,100k+
CID_000116,44038,M,ADDR_000116,user_000116@masked.com,3605,"['41.339976', '111.507170']",46–55,100k+
CID_000117,44132,F,ADDR_000117,user_000117@masked.com,18411,"['64.370758', '84.244774']",36–45,100k+
CID_000118,44097,F,ADDR_000118,user_000118@masked.com,6231,"['-75.971705', '-50.813330']",56–65,100k+
CID_000119,43892,M,ADDR_000119,user_000119@masked.com,25668,"['-63.660627', '-118.875115']",26–35,100k+
CID_000120,44731,F,ADDR_000120,user_000120@masked.com,12452,"['69.099352', '-70.023688']",18–25,100k+
CID_000121,44296,M,ADDR_000121,user_000121@masked.com,5295,"['59.569081', '165.651380']",26–35,60k - 80k
CID_000122,43816,F,ADDR_000122,user_000122@masked.com,4843,"['72.0086455', '65.639742']",26–35,20k - 40k
CID_000123,44446,F,ADDR_000123,user_000123@masked.com,5962,"['69.058034', '132.270793']",56–65,60k - 80k
CID_000124,44677,M,ADDR_000124,user_000124@masked.com,31982,"['50.5559455', '-67.045104']",36–45,80k - 100k
CID_000125,44521,F,ADDR_000125,user_000125@masked.com,16228,"['11.941314', '150.281482']",56–65,40k - 60k
CID_000126,43672,M,ADDR_000126,user_000126@masked.com,14166,"['52.4805375', '-85.727130']",26–35,60k - 80k
CID_000127,44543,M,ADDR_000127,user_000127@masked.com,16887,"['77.634215', '-37.453105']",46–55,40k - 60k
CID_000128,44353,F,ADDR_000128,user_000128@masked.com,8998,"['78.020354', '29.135017']",18–25,100k+
CID_000129,44191,F,ADDR_000129,user_000129@masked.com,22811,"['-55.317003', '1.269217']",26–35,100k+
CID_000130,43932,M,ADDR_000130,user_000130@masked.com,6527,"['-0.225682', '-62.030924']",56–65,100k+
CID_000131,44429,M,ADDR_000131,user_000131@masked.com,19414,"['16.814176', '-156.172113']",26–35,100k+
CID_000132,44594,M,ADDR_000132,user_000132@masked.com,24788,"['22.4350925', '121.572539']",46–55,100k+
CID_000133,44623,F,ADDR_000133,user_000133@masked.com,34619,"['7.4957675', '60.101974']",46–55,100k+
CID_000134,44217,M,ADDR_000134,user_000134@masked.com,43452,"['-88.039490', '122.337244']",26–35,100k+
CID_000135,44430,M,ADDR_000135,user_000135@masked.com,30503,"['-87.406118', '-144.572574']",36–45,100k+
CID_000136,43843,F,ADDR_000136,user_000136@masked.com,40623,"['52.7962165', '-12.591592']",36–45,100k+
CID_000137,44308,F,ADDR_000137,user_000137@masked.com,12345,"['50.571809', '173.896826']",26–35,100k+
CID_000138,44172,M,ADDR_000138,user_000138@masked.com,13111,"['-11.8633975', '-34.147309']",36–45,100k+
CID_000139,44426,M,ADDR_000139,user_000139@masked.com,26839,"['89.1971705', '-25.944124']",56–65,100k+
CID_000140,43852,M,ADDR_000140,user_000140@masked.com,10547,"['-30.8638375', '-69.028137']",18–25,100k+
CID_000141,44579,M,ADDR_000141,user_000141@masked.com,23113,"['-73.9625525', '-131.496928']",36–45,20k - 40k
CID_000142,44498,M,ADDR_000142,user_000142@masked.com,13326,"['-3.861933', '159.113402']",18–25,100k+
CID_000143,44378,M,ADDR_000143,user_000143@masked.com,43740,"['-6.8036225', '-24.710617']",36–45,100k+
CID_000144,44457,F,ADDR_000144,user_000144@masked.com,26501,"['36.7561045', '-155.337721']",46–55,100k+
CID_000145,43771,F,ADDR_000145,user_000145@masked.com,33001,"['87.9788665', '37.371181']",36–45,100k+
CID_000146,44280,M,ADDR_000146,user_000146@masked.com,35186,"['44.6114205', '-64.566544']",26–35,100k+
CID_000147,43898,F,ADDR_000147,user_000147@masked.com,19159,"['18.907118', '65.342678']",26–35,100k+
CID_000148,44697,F,ADDR_000148,user_000148@masked.com,35729,"['88.576494', '4.181561']",56–65,60k - 80k
CID_000149,43991,M,ADDR_000149,user_000149@masked.com,17344,"['-76.3366215', '-89.469760']",46–55,100k+
CID_000150,44152,F,ADDR_000150,user_000150@masked.com,14975,"['5.052971', '32.702549']",36–45,60k - 80k
CID_000151,44057,M,ADDR_000151,user_000151@masked.com,7974,"['78.947815', '170.126443']",56–65,100k+
CID_000152,44503,F,ADDR_000152,user_000152@masked.com,9742,"['30.8691045', '-168.271022']",18–25,20k - 40k
CID_000153,44422,M,ADDR_000153,user_000153@masked.com,43221,"['-30.0222895', '73.509576']",26–35,20k - 40k
CID_000154,44485,M,ADDR_000154,user_000154@masked.com,10073,"['51.553733', '-36.773386']",46–55,60k - 80k
CID_000155,43796,M,ADDR_000155,user_000155@masked.com,40436,"['11.3167245', '-117.633635']",36–45,100k+
CID_000156,44085,F,ADDR_000156,user_000156@masked.com,2380,"['36.7246715', '-47.913531']",36–45,100k+
CID_000157,44622,F,ADDR_000157,user_000157@masked.com,32994,"['-52.3823375', '-1.790345']",46–55,60k - 80k
CID_000158,44480,M,ADDR_000158,user_000158@masked.com,28639,"['-85.4107445', '160.091877']",46–55,60k - 80k
CID_000159,44531,M,ADDR_000159,user_000159@masked.com,43112,"['-16.084062', '-131.136124']",56–65,100k+
CID_000160,44488,F,ADDR_000160,user_000160@masked.com,37713,"['0.955641', '-168.422961']",18–25,100k+
CID_000161,43976,F,ADDR_000161,user_000161@masked.com,29625,"['-29.889366', '-86.677888']",18–25,100k+
CID_000162,44219,F,ADDR_000162,user_000162@masked.com,9126,"['-77.729609', '110.184873']",46–55,20k - 40k
CID_000163,44097,F,ADDR_000163,user_000163@masked.com,6801,"['81.0441185', '-172.166329']",36–45,60k - 80k
CID_000164,44071,M,ADDR_000164,user_000164@masked.com,24444,"['-4.4229015', '13.294613']",26–35,100k+
CID_000165,43830,M,ADDR_000165,user_000165@masked.com,39888,"['15.013189', '-72.139972']",36–45,60k - 80k
CID_000166,43729,F,ADDR_000166,user_000166@masked.com,42378,"['-53.9153565', '45.087897']",26–35,40k - 60k
CID_000167,44594,F,ADDR_000167,user_000167@masked.com,31844,"['30.826953', '-167.127600']",36–45,100k+
CID_000168,44081,M,ADDR_000168,user_000168@masked.com,38683,"['-73.6108005', '-130.262742']",56–65,100k+
CID_000169,44015,M,ADDR_000169,user_000169@masked.com,31864,"['-70.297607', '-160.577137']",26–35,100k+
CID_000170,44554,F,ADDR_000170,user_000170@masked.com,5205,"['88.387777', '56.658600']",46–55,100k+
CID_000171,44426,M,ADDR_000171,user_000171@masked.com,15565,"['72.6244485', '40.437907']",46–55,100k+
CID_000172,44337,M,ADDR_000172,user_000172@masked.com,12651,"['12.733080', '-5.896779']",18–25,100k+
CID_000173,43974,F,ADDR_000173,user_000173@masked.com,30746,"['74.6655285', '-111.531672']",56–65,60k - 80k
CID_000174,44517,F,ADDR_000174,user_000174@masked.com,14580,"['-27.0466565', '64.381683']",36–45,100k+
CID_000175,44493,F,ADDR_000175,user_000175@masked.com,44041,"['-21.513556', '-177.740466']",18–25,100k+
CID_000176,44629,M,ADDR_000176,user_000176@masked.com,31348,"['22.9868155', '-136.066624']",18–25,100k+
CID_000177,43902,M,ADDR_000177,user_000177@masked.com,20816,"['89.6978935', '-16.276735']",18–25,100k+
CID_000178,44252,F,ADDR_000178,user_000178@masked.com,3749,"['-33.609121', '53.984775']",36–45,20k - 40k
CID_000179,44488,F,ADDR_000179,user_000179@masked.com,5418,"['-0.6504415', '55.637322']",56–65,100k+
CID_000180,44718,F,ADDR_000180,user_000180@masked.com,41045,"['-23.0402425', '-89.453322']",18–25,100k+
CID_000181,44199,M,ADDR_000181,user_000181@masked.com,12644,"['30.120279', '147.025931']",26–35,100k+
CID_000182,44659,M,ADDR_000182,user_000182@masked.com,2813,"['-70.417449', '46.525926']",36–45,40k - 60k
CID_000183,43913,M,ADDR_000183,user_000183@masked.com,29229,"['-39.4107165', '4.423749']",46–55,100k+
CID_000184,44485,M,ADDR_000184,user_000184@masked.com,35825,"['-78.434598', '32.393169']",46–55,20k - 40k
CID_000185,44434,M,ADDR_000185,user_000185@masked.com,12769,"['52.852773', '-179.663881']",26–35,80k - 100k
CID_000186,44357,F,ADDR_000186,user_000186@masked.com,10623,"['83.836114', '160.024521']",36–45,80k - 100k
CID_000187,43825,F,ADDR_000187,user_000187@masked.com,18161,"['-76.497719', '147.180756']",18–25,60k - 80k
CID_000188,44491,F,ADDR_000188,user_000188@masked.com,31446,"['-28.140057', '84.930696']",56–65,80k - 100k
CID_000189,43828,M,ADDR_000189,user_000189@masked.com,5617,"['0.793919', '81.134468']",46–55,100k+
CID_000190,44662,M,ADDR_000190,user_000190@masked.com,22809,"['-74.0033045', '-15.160138']",36–45,100k+
CID_000191,44257,M,ADDR_000191,user_000191@masked.com,2420,"['87.757590', '23.377413']",46–55,40k - 60k
CID_000192,44682,M,ADDR_000192,user_000192@masked.com,14292,"['-0.817211', '13.145528']",18–25,100k+
CID_000193,44490,M,ADDR_000193,user_000193@masked.com,10853,"['-45.049594', '87.556258']",46–55,100k+
CID_000194,44614,F,ADDR_000194,user_000194@masked.com,15971,"['-84.5365435', '-53.808819']",46–55,80k - 100k
CID_000195,44161,F,ADDR_000195,user_000195@masked.com,5869,"['-27.549228', '16.669427']",26–35,100k+
CID_000196,44119,M,ADDR_000196,user_000196@masked.com,37510,"['-78.969805', '91.720277']",46–55,40k - 60k
CID_000197,43883,M,ADDR_000197,user_000197@masked.com,2637,"['33.402225', '-115.195164']",36–45,100k+
CID_000198,44250,M,ADDR_000198,user_000198@masked.com,44144,"['-64.8757745', '68.981398']",56–65,100k+
CID_000199,44298,M,ADDR_000199,user_000199@masked.com,39198,"['68.107606', '-78.427759']",36–45,100k+
CID_000200,44340,M,ADDR_000200,user_000200@masked.com,18735,"['-13.102409', '-1.120539']",18–25,100k+
CID_000201,44423,M,ADDR_000201,user_000201@masked.com,17255,"['11.580603', '86.014951']",26–35,100k+
CID_000202,43892,F,ADDR_000202,user_000202@masked.com,20699,"['41.488395', '-56.832011']",26–35,40k - 60k
CID_000203,44683,M,ADDR_000203,user_000203@masked.com,26802,"['53.7336145', '39.499710']",46–55,100k+
CID_000204,44611,M,ADDR_000204,user_000204@masked.com,15675,"['-65.200948', '61.119720']",56–65,60k - 80k
CID_000205,44486,F,ADDR_000205,user_000205@masked.com,38720,"['-1.351874', '-90.575867']",18–25,100k+
CID_000206,43949,M,ADDR_000206,user_000206@masked.com,32381,"['-30.4635415', '173.626702']",36–45,100k+
CID_000207,44191,F,ADDR_000207,user_000207@masked.com,17577,"['73.731871', '118.313372']",56–65,40k - 60k
CID_000208,44422,F,ADDR_000208,user_000208@masked.com,23268,"['14.284858', '-87.578018']",18–25,20k - 40k
CID_000209,44077,F,ADDR_000209,user_000209@masked.com,39950,"['-38.9073475', '-6.108789']",18–25,60k - 80k
CID_000210,44026,M,ADDR_000210,user_000210@masked.com,18015,"['67.454264', '117.947032']",56–65,100k+
CID_000211,44127,M,ADDR_000211,user_000211@masked.com,13769,"['-72.4823665', '59.852106']",18–25,40k - 60k
CID_000212,44235,F,ADDR_000212,user_000212@masked.com,2469,"['58.2300105', '137.014906']",46–55,100k+
CID_000213,43704,F,ADDR_000213,user_000213@masked.com,19837,"['-18.641988', '-153.219455']",36–45,100k+
CID_000214,44399,F,ADDR_000214,user_000214@masked.com,9213,"['13.765582', '108.489443']",36–45,60k - 80k
CID_000215,44193,F,ADDR_000215,user_000215@masked.com,37721,"['33.737379', '62.418664']",46–55,80k - 100k
CID_000216,43996,M,ADDR_000216,user_000216@masked.com,29652,"['-8.9585455', '93.287847']",56–65,100k+
CID_000217,44062,M,ADDR_000217,user_000217@masked.com,31352,"['-15.698761', '-167.723784']",36–45,20k - 40k
CID_000218,43806,F,ADDR_000218,user_000218@masked.com,28678,"['89.659380', '-105.213187']",46–55,40k - 60k
CID_000219,44700,F,ADDR_000219,user_000219@masked.com,32780,"['3.5875515', '102.404402']",46–55,80k - 100k
CID_000220,44676,F,ADDR_000220,user_000220@masked.com,27621,"['-63.996925', '-118.473425']",46–55,20k - 40k
CID_000221,43707,F,ADDR_000221,user_000221@masked.com,32469,"['-33.5133985', '48.903829']",18–25,100k+
CID_000222,43997,M,ADDR_000222,user_000222@masked.com,12340,"['44.3395805', '-50.552487']",46–55,100k+
CID_000223,44498,M,ADDR_000223,user_000223@masked.com,43929,"['7.993513', '-3.014214']",46–55,60k - 80k
CID_000224,43916,M,ADDR_000224,user_000224@masked.com,30896,"['72.9359105', '165.815873']",36–45,100k+
CID_000225,44053,F,ADDR_000225,user_000225@masked.com,32730,"['22.9931395', '-153.186137']",46–55,100k+
CID_000226,44528,F,ADDR_000226,user_000226@masked.com,41889,"['2.880646', '143.262745']",56–65,100k+
CID_000227,43867,M,ADDR_000227,user_000227@masked.com,4689,"['69.1298665', '81.081281']",26–35,100k+
CID_000228,43803,M,ADDR_000228,user_000228@masked.com,37228,"['-3.2621675', '-75.700586']",46–55,100k+
CID_000229,43745,M,ADDR_000229,user_000229@masked.com,27907,"['9.020631', '159.563103']",36–45,100k+
CID_000230,44482,F,ADDR_000230,user_000230@masked.com,10579,"['-26.4765415', '12.658814']",36–45,80k - 100k
CID_000231,43830,F,ADDR_000231,user_000231@masked.com,37873,"['-65.0716765', '-41.555502']",36–45,60k - 80k
CID_000232,44159,F,ADDR_000232,user_000232@masked.com,21817,"['-32.849785', '-167.166841']",26–35,100k+
CID_000233,44612,M,ADDR_000233,user_000233@masked.com,35729,"['6.247985', '59.689949']",18–25,60k - 80k
CID_000234,44536,F,ADDR_000234,user_000234@masked.com,7502,"['-77.7597015', '-57.242649']",36–45,100k+
CID_000235,44592,F,ADDR_000235,user_000235@masked.com,30587,"['68.2028435', '-69.085841']",18–25,100k+
CID_000236,44578,F,ADDR_000236,user_000236@masked.com,32382,"['35.6475455', '-65.631477']",36–45,40k - 60k
CID_000237,43857,M,ADDR_000237,user_000237@masked.com,18591,"['63.341465', '-37.145400']",56–65,40k - 60k
CID_000238,43915,M,ADDR_000238,user_000238@masked.com,16586,"['-18.0442995', '176.862121']",56–65,60k - 80k
CID_000239,43737,F,ADDR_000239,user_000239@masked.com,35068,"['43.562540', '102.488236']",36–45,40k - 60k
CID_000240,43943,F,ADDR_000240,user_000240@masked.com,28527,"['35.212704', '173.111053']",56–65,100k+
CID_000241,43922,F,ADDR_000241,user_000241@masked.com,9014,"['63.705192', '-156.931027']",36–45,100k+
CID_000242,44727,M,ADDR_000242,user_000242@masked.com,15793,"['-44.296871', '120.454143']",26–35,100k+
CID_000243,43916,F,ADDR_000243,user_000243@masked.com,28676,"['-29.324714', '-38.904423']",18–25,100k+
CID_000244,43763,M,ADDR_000244,user_000244@masked.com,23231,"['73.4930715', '82.753501']",56–65,40k - 60k
CID_000245,43728,M,ADDR_000245,user_000245@masked.com,35598,"['51.963560', '78.258976']",46–55,100k+
